City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
236,atar,MR,79.12,overcast clouds,20.52,-13.05,Atar
237,puerto cabezas,NI,77.0,broken clouds,14.04,-83.39,Puerto Cabezas
238,shwebo,MM,79.2,broken clouds,22.57,95.7,Shwebo
241,praia,CV,75.2,few clouds,14.92,-23.51,Praia
242,cassilandia,BR,69.46,clear sky,-19.11,-51.73,Cassilândia
243,hasaki,JP,70.0,light rain,35.73,140.83,Kamisu
253,dakoro,NE,73.99,clear sky,14.51,6.76,Dakoro
255,bechem,GH,70.18,light rain,7.09,-2.02,Bechem
258,poum,NC,78.84,broken clouds,-20.23,164.02,Poum
263,iquitos,PE,72.88,scattered clouds,-3.75,-73.25,Iquitos
265,san cristobal,VE,66.63,light rain,7.77,-72.22,San Cristobal
281,luis correia,BR,79.61,few clouds,-2.88,-41.67,Parnaíba
283,petatlan,MX,77.63,scattered clouds,17.52,-101.27,Petatlán
287,mamanguape,BR,78.8,broken clouds,-6.84,-35.13,Mamanguape
288,nichinan,JP,66.2,mist,31.6,131.37,Nichinan
289,sur,OM,73.38,clear sky,22.57,59.53,Sur
293,nouakchott,MR,75.2,overcast clouds,18.09,-15.98,Nouakchott
295,kutum,SD,68.9,clear sky,14.2,24.67,Kutum
301,xuddur,SO,73.08,overcast clouds,4.12,43.89,Xuddur
302,saint-pierre,RE,69.8,overcast clouds,-21.34,55.48,Saint Pierre
303,san patricio,US,66.2,clear sky,28.02,-97.52,Sinton
304,muisne,EC,75.34,overcast clouds,0.6,-80.03,Muisne
305,baglung,NP,73.58,clear sky,28.27,83.59,Baglung
311,puerto madryn,AR,73.89,overcast clouds,-42.77,-65.04,Puerto Madryn
313,obo,CF,68.83,broken clouds,5.4,26.49,Obo
317,ixtapa,MX,75.74,few clouds,20.7,-105.2,Puerto Vallarta
322,pinar del rio,CU,75.7,scattered clouds,22.42,-83.7,Pinar del Río
324,kochi,IN,78.8,mist,9.94,76.26,Kochi
330,zlitan,LY,66.76,clear sky,32.47,14.57,Zliten
335,alta floresta,BR,70.52,overcast clouds,-9.88,-56.09,Alta Floresta
336,simao,CN,71.64,scattered clouds,22.79,100.97,Pu'er City
337,tiznit,MA,66.99,clear sky,29.58,-9.5,Ouijjane
339,bull savanna,JM,75.0,overcast clouds,17.89,-77.59,Alligator Pond
341,umuahia,NG,72.64,overcast clouds,5.53,7.49,Umuahia
343,vila velha,BR,69.8,overcast clouds,-20.33,-40.29,Vila Velha
344,cumana,VE,78.8,few clouds,10.46,-64.18,Cumana
346,ambilobe,MG,71.78,overcast clouds,-13.2,49.05,Ambilobe
347,sargur,IN,74.21,clear sky,11.98,76.42,Sargur
348,quatre cocos,MU,71.01,scattered clouds,-20.21,57.76,Central Flacq
349,cabinda,AO,76.87,overcast clouds,-5.55,12.2,Cabinda
354,airai,TL,79.88,overcast clouds,-8.93,125.41,Atsabe
356,ojinaga,MX,69.8,clear sky,29.57,-104.42,Ojinaga
358,kidal,ML,72.55,few clouds,18.44,1.41,Kidal
370,quang ngai,VN,79.45,light rain,15.12,108.8,Quảng Ngãi
387,port lincoln,AU,77.54,broken clouds,-34.73,135.87,Port Lincoln
393,chapadinha,BR,75.49,broken clouds,-3.74,-43.36,Chapadinha
394,bandarbeyla,SO,76.51,clear sky,9.49,50.81,Bandarbeyla
396,omboue,GA,75.78,overcast clouds,-1.57,9.26,Omboue
397,saint-georges,GD,78.8,broken clouds,12.06,-61.75,Saint George's
407,taoudenni,ML,75.31,overcast clouds,22.68,-3.98,Taoudenni
410,benin,BJ,71.19,overcast clouds,9.5,2.25,
413,sao jose da coroa grande,BR,76.71,broken clouds,-8.9,-35.15,São José da Coroa Grande
420,hwange,ZW,70.45,clear sky,-18.37,26.5,Hwange
421,palestine,PS,71.6,scattered clouds,31.92,35.2,Jerusalem
423,makurdi,NG,74.93,broken clouds,7.74,8.51,Makurdi
428,meghraj,IN,74.48,clear sky,23.5,73.5,Meghraj
429,shaowu,CN,65.75,overcast clouds,27.34,117.48,Nanping
432,carballo,ES,66.99,overcast clouds,43.21,-8.69,Carballo
433,gouyave,GD,78.8,broken clouds,12.16,-61.73,Victoria
438,bousso,TD,77.49,clear sky,10.48,16.71,Bousso
447,guerrero negro,MX,69.73,clear sky,27.98,-114.06,Guerrero Negro
451,cabedelo,BR,78.8,broken clouds,-6.98,-34.83,Cabedelo
452,loa janan,ID,77.45,moderate rain,-0.58,117.09,Samarinda
454,tangzhai,CN,67.19,few clouds,34.43,116.59,Suzhou
459,san fernando,PH,77.0,overcast clouds,15.03,120.69,San Fernando
461,dakar,SN,77.0,clear sky,14.69,-17.44,Dakar
469,mandurah,AU,70.0,light rain,-32.55,115.7,Mandurah
471,oussouye,SN,79.72,clear sky,12.48,-16.55,Oussouye
472,mumford,GH,78.12,overcast clouds,5.26,-0.76,Apam
478,meulaboh,ID,79.97,overcast clouds,4.14,96.13,Meulaboh
480,otane,NZ,65.57,overcast clouds,-39.88,176.63,Hastings
481,tezu,IN,75.69,broken clouds,27.92,96.17,Tezu
486,port-gentil,GA,78.12,overcast clouds,-0.72,8.78,Port-Gentil
488,mecca,SA,73.63,clear sky,21.43,39.83,Mecca
503,kaeo,NZ,73.99,overcast clouds,-35.1,173.78,Kaeo
510,diourbel,SN,75.7,clear sky,14.66,-16.39,Ngoye
511,magaria,NE,73.81,overcast clouds,13.0,8.91,Magaria
515,tessalit,ML,71.49,broken clouds,20.2,1.01,Achemelmel
517,namibe,AO,69.46,clear sky,-15.2,12.15,Namibe
518,katsuura,JP,71.6,broken clouds,35.13,140.3,Katsuura
523,gat,IL,69.01,overcast clouds,31.61,34.76,Kiryat Gat
525,mahajanga,MG,77.0,scattered clouds,-15.72,46.32,Mahajanga
526,puerto del rosario,ES,69.8,few clouds,28.5,-13.86,Puerto del Rosario
528,aracruz,BR,69.8,overcast clouds,-19.82,-40.27,Aracruz
537,aranos,,71.01,broken clouds,-24.13,19.12,Aranos
540,sembe,CG,70.84,heavy intensity rain,1.65,14.58,Sembe
543,kaduqli,SD,77.88,broken clouds,11.02,29.72,Kadugli
544,nkan,GA,77.0,scattered clouds,0.38,9.78,Ntoum
546,maragogi,BR,76.44,scattered clouds,-9.01,-35.22,Maragogi
547,los llanos de aridane,ES,71.6,clear sky,28.66,-17.92,Los Llanos
551,puerto colombia,CO,75.2,few clouds,10.99,-74.95,Sabanilla Montecarmelo
556,piacabucu,BR,77.2,overcast clouds,-10.41,-36.43,Piaçabuçu
557,kushima,JP,66.2,mist,31.46,131.23,Kushima
561,ahipara,NZ,69.71,overcast clouds,-35.17,173.17,Ahipara
563,masyaf,SY,69.8,moderate rain,35.07,36.34,Masyaf
568,libreville,GA,77.0,scattered clouds,0.39,9.45,Libreville
571,san ramon,US,69.8,smoke,37.78,-121.98,San Ramon
572,itarema,BR,79.66,scattered clouds,-2.92,-39.92,Itarema
574,morro bay,US,66.99,few clouds,35.37,-120.85,Morro Bay
575,adrar,MR,76.48,overcast clouds,20.5,-10.07,
585,dana point,US,70.0,clear sky,33.47,-117.7,San Clemente
590,tefe,BR,73.76,scattered clouds,-3.35,-64.71,Tefé
592,nioro,GM,76.44,clear sky,13.35,-15.75,Nioro
595,impfondo,CG,69.67,light rain,1.64,18.07,Impfondo
596,balsas,BR,77.81,broken clouds,-7.53,-46.04,Balsas
598,rawson,AR,74.46,overcast clouds,-43.3,-65.1,Rawson
599,biltine,TD,78.35,scattered clouds,14.53,20.92,Biltine
601,meiganga,CM,66.67,overcast clouds,6.52,14.3,Meiganga
603,grootfontein,,72.32,few clouds,-19.57,18.12,Grootfontein
615,tabou,CI,76.86,light rain,4.42,-7.35,Tabou
619,puerto carreno,CO,74.23,overcast clouds,6.19,-67.49,Puerto Carreño
621,qeshm,IR,66.2,clear sky,26.96,56.27,Qeshm
623,gunjur,GM,75.2,clear sky,13.2,-16.73,Gunjur
627,kasongo-lunda,CD,69.89,overcast clouds,-6.47,16.82,Kasongo-Lunda
629,kapoeta,SS,77.67,overcast clouds,4.77,33.59,Kapoeta
630,murupara,NZ,77.0,overcast clouds,-38.47,176.7,Murupara
633,jardim,BR,68.31,few clouds,-21.48,-56.14,Jardim
637,sena madureira,BR,73.74,clear sky,-9.07,-68.66,Sena Madureira
638,sanghar,PK,79.21,clear sky,26.05,68.95,Sanghar
640,trinidad,BO,74.71,overcast clouds,-14.83,-64.9,Trinidad
643,ormond beach,US,72.0,overcast clouds,29.29,-81.06,Daytona Beach
645,son la,VN,76.6,broken clouds,21.32,103.9,Sơn La
647,bereda,ES,66.0,overcast clouds,43.27,-7.54,A Feira do Monte
649,anori,BR,75.47,broken clouds,-3.77,-61.64,Anori
653,soyo,AO,77.49,overcast clouds,-6.13,12.37,Soyo
658,ferkessedougou,CI,74.37,clear sky,9.6,-5.2,Ferkessédougou
664,cartagena,CO,78.8,scattered clouds,10.4,-75.51,Cartagena
665,aquidauana,BR,72.09,clear sky,-20.47,-55.79,Aquidauana
680,lakes entrance,AU,71.01,scattered clouds,-37.88,147.98,Lakes Entrance
681,iseyin,NG,72.23,few clouds,7.97,3.6,Iseyin
684,guanare,VE,73.45,overcast clouds,9.04,-69.74,Guanare
689,bahia honda,CU,78.48,clear sky,22.9,-83.16,Harlem
692,san rafael,AR,69.6,scattered clouds,-34.62,-68.33,San Rafael
693,porto velho,BR,77.0,clear sky,-8.76,-63.9,Porto Velho
