City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
629,kapoeta,SS,4.77,33.59,77.67,58,98,10.74,overcast clouds,2020-11-02 02:52:12
630,murupara,NZ,-38.47,176.7,77.0,50,100,1.01,overcast clouds,2020-11-02 02:52:12
631,maumere,ID,-8.62,122.21,86.81,60,94,1.95,overcast clouds,2020-11-02 02:52:12
632,mata,PT,40.68,-7.46,60.01,94,98,4.92,overcast clouds,2020-11-02 02:52:12
633,jardim,BR,-21.48,-56.14,68.31,71,11,3.71,few clouds,2020-11-02 02:52:13
634,krasnovishersk,RU,60.41,57.08,25.16,98,67,2.39,broken clouds,2020-11-02 02:52:13
635,durban,ZA,-29.86,31.03,62.01,93,90,6.93,heavy intensity rain,2020-11-02 02:47:50
636,mo i rana,NO,66.31,14.14,42.1,81,100,8.21,overcast clouds,2020-11-02 02:52:13
637,sena madureira,BR,-9.07,-68.66,73.74,75,10,1.39,clear sky,2020-11-02 02:52:13
638,sanghar,PK,26.05,68.95,79.21,17,0,0.78,clear sky,2020-11-02 02:52:14
639,ust-omchug,RU,61.15,149.63,25.93,96,100,3.36,light snow,2020-11-02 02:52:14
640,trinidad,BO,-14.83,-64.9,74.71,41,100,3.51,overcast clouds,2020-11-02 02:52:14
641,mirabad,AF,30.44,61.84,53.98,26,0,2.17,clear sky,2020-11-02 02:52:14
642,schladming,AT,47.39,13.69,53.6,76,90,8.05,overcast clouds,2020-11-02 02:52:15
643,ormond beach,US,29.29,-81.06,72.0,100,90,3.36,overcast clouds,2020-11-02 02:49:35
644,fochville,ZA,-26.49,27.49,58.95,82,95,9.55,overcast clouds,2020-11-02 02:52:15
645,son la,VN,21.32,103.9,76.6,69,62,2.66,broken clouds,2020-11-02 02:52:15
646,turek,PL,52.02,18.5,48.0,95,72,4.0,broken clouds,2020-11-02 02:52:15
647,bereda,ES,43.27,-7.54,66.0,100,100,11.99,overcast clouds,2020-11-02 02:52:16
648,almeirim,BR,-1.52,-52.58,81.05,57,90,4.41,overcast clouds,2020-11-02 02:52:16
649,anori,BR,-3.77,-61.64,75.47,80,72,1.99,broken clouds,2020-11-02 02:52:16
650,stanisic,RS,45.94,19.17,44.6,93,0,5.82,clear sky,2020-11-02 02:52:16
651,anuchino,RU,43.96,133.05,41.63,61,16,8.9,few clouds,2020-11-02 02:52:16
652,udachnyy,RU,66.42,112.4,8.6,78,0,6.71,clear sky,2020-11-02 02:52:16
653,soyo,AO,-6.13,12.37,77.49,88,100,5.3,overcast clouds,2020-11-02 02:52:16
654,batsfjord,NO,70.63,29.72,42.53,80,100,31.99,overcast clouds,2020-11-02 02:52:17
655,san andres,CO,12.58,-81.7,80.6,88,75,4.7,broken clouds,2020-11-02 02:52:17
656,noyon,FR,49.58,3.0,64.0,93,90,23.04,light intensity drizzle,2020-11-02 02:52:17
657,freeport,US,40.66,-73.58,51.01,70,88,10.0,overcast clouds,2020-11-02 02:52:17
658,ferkessedougou,CI,9.6,-5.2,74.37,72,0,3.83,clear sky,2020-11-02 02:52:18
659,owensboro,US,37.77,-87.11,41.0,44,1,10.29,clear sky,2020-11-02 02:50:01
